example_id                                                  | status  | run_time        |
./spec/features/tags_spec.rb[1:2]                           | passed  | 5.58 seconds    |
./spec/features/tags_spec.rb[1:3]                           | passed  | 12 seconds      |
./spec/features/tags_spec.rb[1:4]                           | passed  | 1.64 seconds    |
./spec/features/tags_spec.rb[1:5]                           | passed  | 0.62417 seconds |
./spec/helpers/addresses_helper_spec.rb[1:1]                | pending | 0.00001 seconds |
./spec/helpers/institutions_helper_spec.rb[1:1]             | pending | 0.00001 seconds |
./spec/helpers/people_helper_spec.rb[1:1]                   | pending | 0.00001 seconds |
./spec/helpers/render_helper_spec.rb[1:1]                   | pending | 0.00001 seconds |
./spec/helpers/tag_lists_helper_spec.rb[1:1]                | pending | 0.00001 seconds |
./spec/models/address_spec.rb[1:1]                          | passed  | 0.08703 seconds |
./spec/models/address_spec.rb[1:2]                          | passed  | 0.03483 seconds |
./spec/models/institution_spec.rb[1:1]                      | passed  | 0.00359 seconds |
./spec/models/institution_spec.rb[1:2]                      | passed  | 0.00322 seconds |
./spec/models/person_spec.rb[1:1]                           | passed  | 0.00311 seconds |
./spec/models/person_spec.rb[1:2]                           | passed  | 0.003 seconds   |
./spec/models/person_spec.rb[1:3]                           | passed  | 0.09102 seconds |
./spec/models/tag_list_spec.rb[1:1]                         | pending | 0.00001 seconds |
./spec/models/user_spec.rb[1:1]                             | passed  | 0.00731 seconds |
./spec/models/user_spec.rb[1:2]                             | passed  | 0.01 seconds    |
./spec/models/user_spec.rb[1:3]                             | passed  | 0.01011 seconds |
./spec/requests/addresses_spec.rb[1:1:1]                    | failed  | 0.33956 seconds |
./spec/requests/institutions_spec.rb[1:1:1]                 | failed  | 0.01204 seconds |
./spec/requests/people_spec.rb[1:1:1]                       | pending | 0.07781 seconds |
./spec/requests/tag_lists_spec.rb[1:1:1]                    | failed  | 0.01614 seconds |
./spec/routing/addresses_routing_spec.rb[1:1:1]             | passed  | 0.00384 seconds |
./spec/routing/addresses_routing_spec.rb[1:1:2]             | passed  | 0.00166 seconds |
./spec/routing/addresses_routing_spec.rb[1:1:3]             | passed  | 0.00131 seconds |
./spec/routing/addresses_routing_spec.rb[1:1:4]             | passed  | 0.00146 seconds |
./spec/routing/addresses_routing_spec.rb[1:1:5]             | passed  | 0.00173 seconds |
./spec/routing/addresses_routing_spec.rb[1:1:6]             | passed  | 0.00318 seconds |
./spec/routing/addresses_routing_spec.rb[1:1:7]             | passed  | 0.00401 seconds |
./spec/routing/addresses_routing_spec.rb[1:1:8]             | passed  | 0.00378 seconds |
./spec/routing/institutions_routing_spec.rb[1:1:1]          | passed  | 0.00147 seconds |
./spec/routing/institutions_routing_spec.rb[1:1:2]          | passed  | 0.00381 seconds |
./spec/routing/institutions_routing_spec.rb[1:1:3]          | passed  | 0.00142 seconds |
./spec/routing/institutions_routing_spec.rb[1:1:4]          | passed  | 0.00174 seconds |
./spec/routing/institutions_routing_spec.rb[1:1:5]          | passed  | 0.0022 seconds  |
./spec/routing/institutions_routing_spec.rb[1:1:6]          | passed  | 0.00334 seconds |
./spec/routing/institutions_routing_spec.rb[1:1:7]          | passed  | 0.00166 seconds |
./spec/routing/institutions_routing_spec.rb[1:1:8]          | passed  | 0.00179 seconds |
./spec/routing/people_routing_spec.rb[1:1:1]                | passed  | 0.00125 seconds |
./spec/routing/people_routing_spec.rb[1:1:2]                | passed  | 0.00193 seconds |
./spec/routing/people_routing_spec.rb[1:1:3]                | passed  | 0.00179 seconds |
./spec/routing/people_routing_spec.rb[1:1:4]                | passed  | 0.00148 seconds |
./spec/routing/people_routing_spec.rb[1:1:5]                | passed  | 0.00464 seconds |
./spec/routing/people_routing_spec.rb[1:1:6]                | passed  | 0.00485 seconds |
./spec/routing/people_routing_spec.rb[1:1:7]                | passed  | 0.00164 seconds |
./spec/routing/people_routing_spec.rb[1:1:8]                | passed  | 0.00119 seconds |
./spec/routing/tag_lists_routing_spec.rb[1:1:1]             | passed  | 0.00313 seconds |
./spec/routing/tag_lists_routing_spec.rb[1:1:2]             | passed  | 0.003 seconds   |
./spec/routing/tag_lists_routing_spec.rb[1:1:3]             | passed  | 0.00269 seconds |
./spec/routing/tag_lists_routing_spec.rb[1:1:4]             | passed  | 0.00193 seconds |
./spec/routing/tag_lists_routing_spec.rb[1:1:5]             | passed  | 0.00274 seconds |
./spec/routing/tag_lists_routing_spec.rb[1:1:6]             | passed  | 0.00161 seconds |
./spec/routing/tag_lists_routing_spec.rb[1:1:7]             | passed  | 0.00245 seconds |
./spec/routing/tag_lists_routing_spec.rb[1:1:8]             | passed  | 0.00416 seconds |
./spec/views/people/edit.html.erb_spec.rb[1:1]              | pending | 0.00001 seconds |
./spec/views/people/edit.html.erb_spec.rb[1:2]              | failed  | 0.03772 seconds |
./spec/views/people/index.html.erb_spec.rb[1:1]             | pending | 0.00002 seconds |
./spec/views/people/new.html.erb_spec.rb[1:1]               | pending | 0.00001 seconds |
./spec/views/people/new.html.erb_spec.rb[1:2]               | failed  | 0.04309 seconds |
./spec/views/people/show.html.erb_spec.rb[1:1]              | failed  | 0.12204 seconds |
